genotype,protein,phase,intensity
sas-1ts,Tubulin,EP,5.416
sas-1ts,Tubulin,EP,3.291
sas-1ts,Tubulin,EP,7.035
sas-1ts,Tubulin,EP,4.396
sas-1ts,Tubulin,EP,4.092
sas-1ts,Tubulin,EP,2.329
sas-1ts,Tubulin,EP,2.674
sas-1ts,Tubulin,EP,2.806
sas-1ts,Tubulin,EP,4.493
sas-1ts,Tubulin,EP,3.574
sas-1ts,Tubulin,EP,3.372
sas-1ts,Tubulin,EP,6.595
sas-1ts,Tubulin,EP,3.605
sas-1ts,Tubulin,EP,4.529
sas-1ts,Tubulin,EP,5.761
sas-1ts,Tubulin,EP,5.13
sas-1ts,Tubulin,EP,3.938
sas-1ts,Tubulin,EP,4.357
sas-1ts,Tubulin,EP,6.193
sas-1ts,Tubulin,EP,2.51
sas-1ts,Tubulin,EP,1.111
sas-1ts,Tubulin,EP,1.377
sas-1ts,Tubulin,EP,2.67
sas-1ts,Tubulin,EP,2.735
sas-1ts,Tubulin,LP,0.595
sas-1ts,Tubulin,LP,1.398
sas-1ts,Tubulin,LP,0.852
sas-1ts,Tubulin,LP,0.799
sas-1ts,Tubulin,LP,0.975
sas-1ts,Tubulin,LP,1.845
sas-1ts,Tubulin,LP,1.32
sas-1ts,Tubulin,LP,0.664
sas-1ts,Tubulin,LP,1.098
sas-1ts,Tubulin,LP,0.502
sas-1ts,Tubulin,LP,1.988
sas-1ts,Tubulin,LP,0.528
sas-1ts,Tubulin,LP,1.031
sas-1ts,Tubulin,LP,2.369
sas-1ts,Tubulin,LP,3.823
sas-1ts,Tubulin,LP,1.788
sas-1ts,Tubulin,LP,1.668
sas-1ts,Tubulin,LP,0.914
sas-1ts,Tubulin,LP,2.593
sas-1ts,Tubulin,LP,0.323
sas-1ts,Tubulin,LP,0.265
sas-1ts,Tubulin,LP,1.178
sas-1ts,Tubulin,LP,0.991
sas-1ts,Tubulin,LP,0.957
sas-1ts,Tubulin,LP,1.213
sas-1ts,Tubulin,LP,0.634
sas-1ts,Tubulin,LP,1.305
sas-1ts,Tubulin,LP,1.575
sas-1ts,Tubulin,LP,1.94
sas-1ts,Tubulin,LP,2.798
sas-1ts,Tubulin,LP,1.624
sas-1ts,Tubulin,LP,1.321
