draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
0,9856.533,1.0,0.615,1.0,1.0,0.0,-9856.208,4.564,-0.222
1,9857.321,1.0,0.692,2.0,3.0,0.0,-9857.056,4.573,-0.273
2,9856.634,1.0,0.77,1.0,1.0,0.0,-9856.099,4.59,-0.209
3,9857.858,0.995,0.682,3.0,7.0,0.0,-9857.245,4.584,-0.284
4,9856.676,0.867,0.615,2.0,7.0,0.0,-9853.57,4.631,-0.28
5,9857.174,0.967,0.692,1.0,1.0,0.0,-9857.075,4.571,-0.277
6,9858.178,1.0,0.77,2.0,7.0,0.0,-9856.547,4.602,-0.294
7,9856.928,0.906,0.682,2.0,7.0,0.0,-9855.952,4.615,-0.361
8,9856.81,0.962,0.615,2.0,7.0,0.0,-9854.053,4.577,-0.213
9,9857.231,0.635,0.692,2.0,3.0,0.0,-9852.555,4.578,-0.228
10,9856.679,0.779,0.77,2.0,3.0,0.0,-9856.214,4.574,-0.312
11,9858.046,0.922,0.682,2.0,5.0,0.0,-9854.765,4.593,-0.298
12,9856.611,0.857,0.615,2.0,5.0,0.0,-9854.838,4.605,-0.366
13,9856.914,0.79,0.692,2.0,3.0,0.0,-9854.553,4.572,-0.222
14,9857.553,1.0,0.77,2.0,3.0,0.0,-9856.855,4.583,-0.304
15,9857.696,0.875,0.682,2.0,3.0,0.0,-9856.985,4.605,-0.253
16,9857.846,1.0,0.615,2.0,3.0,0.0,-9856.753,4.616,-0.319
17,9856.596,0.896,0.692,2.0,3.0,0.0,-9855.729,4.565,-0.282
18,9858.175,0.992,0.77,1.0,3.0,0.0,-9857.533,4.599,-0.28
19,9857.268,0.978,0.682,2.0,7.0,0.0,-9856.982,4.611,-0.35
20,9857.513,0.942,0.615,2.0,3.0,0.0,-9857.013,4.624,-0.323
21,9857.621,0.813,0.692,1.0,3.0,0.0,-9854.016,4.609,-0.257
22,9857.953,0.934,0.77,2.0,3.0,0.0,-9857.619,4.588,-0.26
23,9855.237,0.696,0.682,2.0,3.0,0.0,-9853.634,4.576,-0.353
24,9856.413,0.907,0.615,1.0,3.0,0.0,-9855.69,4.632,-0.367
25,9858.074,0.993,0.692,2.0,5.0,0.0,-9857.456,4.61,-0.303
26,9857.169,0.915,0.77,3.0,7.0,0.0,-9856.582,4.591,-0.223
27,9857.362,0.987,0.682,2.0,7.0,0.0,-9854.855,4.586,-0.229
28,9857.947,1.0,0.615,2.0,3.0,0.0,-9856.338,4.606,-0.32
29,9858.022,0.987,0.692,2.0,7.0,0.0,-9857.893,4.593,-0.299
30,9856.322,0.839,0.77,1.0,1.0,0.0,-9856.289,4.592,-0.203
31,9856.667,0.915,0.682,2.0,3.0,0.0,-9855.709,4.563,-0.238
32,9857.377,0.915,0.615,2.0,3.0,0.0,-9856.744,4.619,-0.344
33,9857.85,0.956,0.692,3.0,7.0,0.0,-9856.571,4.584,-0.285
34,9857.977,1.0,0.77,2.0,3.0,0.0,-9856.413,4.587,-0.266
35,9856.847,1.0,0.682,1.0,1.0,0.0,-9856.619,4.566,-0.235
36,9857.581,0.964,0.615,2.0,3.0,0.0,-9856.801,4.603,-0.336
37,9857.37,0.942,0.692,2.0,7.0,0.0,-9857.228,4.616,-0.26
38,9857.686,0.944,0.77,2.0,3.0,0.0,-9857.602,4.581,-0.285
39,9857.305,0.997,0.682,2.0,3.0,0.0,-9856.636,4.577,-0.233
40,9857.055,0.922,0.615,3.0,7.0,0.0,-9856.577,4.623,-0.266
41,9858.117,0.935,0.692,1.0,3.0,0.0,-9856.836,4.593,-0.285
42,9857.686,0.693,0.77,2.0,3.0,0.0,-9854.911,4.581,-0.285
43,9857.237,0.914,0.682,2.0,3.0,0.0,-9856.633,4.572,-0.28
44,9858.143,0.965,0.615,2.0,3.0,0.0,-9856.68,4.606,-0.298
45,9857.824,0.976,0.692,2.0,7.0,0.0,-9857.662,4.618,-0.307
46,9857.641,0.967,0.77,3.0,7.0,0.0,-9856.947,4.609,-0.257
47,9857.479,1.0,0.682,2.0,3.0,0.0,-9857.229,4.575,-0.274
48,9857.428,0.904,0.615,2.0,3.0,0.0,-9856.331,4.616,-0.344
49,9857.61,0.905,0.692,2.0,3.0,0.0,-9857.179,4.606,-0.336
50,9856.575,0.95,0.77,2.0,3.0,0.0,-9856.269,4.563,-0.232
51,9855.304,0.854,0.682,2.0,3.0,0.0,-9855.256,4.6,-0.191
52,9855.733,0.832,0.615,1.0,3.0,0.0,-9854.326,4.644,-0.364
53,9857.239,0.99,0.692,2.0,3.0,0.0,-9857.078,4.629,-0.327
54,9857.73,1.0,0.77,2.0,3.0,0.0,-9856.598,4.584,-0.247
55,9854.332,0.844,0.682,3.0,7.0,0.0,-9852.618,4.565,-0.346
56,9857.991,0.988,0.615,3.0,7.0,0.0,-9854.897,4.597,-0.31
57,9857.128,0.999,0.692,2.0,3.0,0.0,-9857.066,4.63,-0.334
58,9857.524,0.883,0.77,2.0,3.0,0.0,-9857.026,4.6,-0.241
59,9856.448,0.987,0.682,2.0,7.0,0.0,-9853.702,4.585,-0.203
60,9857.832,0.987,0.615,3.0,7.0,0.0,-9857.601,4.586,-0.297
61,9857.964,0.996,0.692,3.0,7.0,0.0,-9856.894,4.587,-0.286
62,9857.961,0.992,0.77,2.0,3.0,0.0,-9857.388,4.588,-0.261
