draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
0,6434.909,0.895,0.49,1.0,1.0,0.0,-6434.51,4.259,0.255
1,6437.502,0.876,0.405,2.0,3.0,0.0,-6436.014,4.322,0.161
2,6436.139,0.976,0.406,3.0,9.0,0.0,-6435.118,4.27,0.23
3,6434.956,1.0,0.459,2.0,3.0,0.0,-6434.036,4.412,0.041
4,6433.867,0.895,0.49,2.0,3.0,0.0,-6433.441,4.269,0.26
5,6437.6,0.999,0.405,2.0,7.0,0.0,-6437.332,4.326,0.152
6,6436.231,0.917,0.406,4.0,15.0,0.0,-6434.967,4.255,0.235
7,6436.922,1.0,0.459,2.0,7.0,0.0,-6434.545,4.355,0.071
8,6434.562,1.0,0.49,1.0,1.0,0.0,-6433.395,4.273,0.25
9,6437.86,1.0,0.405,1.0,1.0,0.0,-6437.658,4.322,0.148
10,6437.763,1.0,0.406,3.0,11.0,0.0,-6436.289,4.284,0.168
11,6435.684,0.978,0.459,2.0,3.0,0.0,-6435.61,4.399,0.058
12,6436.242,1.0,0.49,2.0,3.0,0.0,-6435.03,4.263,0.232
13,6437.374,0.953,0.405,3.0,9.0,0.0,-6436.904,4.358,0.1
14,6437.821,0.999,0.406,2.0,3.0,0.0,-6437.755,4.288,0.173
15,6437.691,0.976,0.459,2.0,7.0,0.0,-6432.894,4.309,0.123
16,6437.784,0.959,0.49,2.0,7.0,0.0,-6435.358,4.314,0.122
17,6437.628,0.943,0.405,4.0,15.0,0.0,-6436.849,4.345,0.122
18,6436.525,0.887,0.406,2.0,7.0,0.0,-6436.193,4.282,0.216
19,6437.856,0.963,0.459,2.0,3.0,0.0,-6437.282,4.325,0.117
20,6436.647,0.819,0.49,2.0,7.0,0.0,-6436.161,4.318,0.183
21,6437.839,1.0,0.405,2.0,3.0,0.0,-6437.626,4.336,0.115
22,6437.496,1.0,0.406,4.0,15.0,0.0,-6436.562,4.334,0.145
23,6436.394,0.799,0.459,3.0,9.0,0.0,-6434.463,4.297,0.207
24,6436.28,0.885,0.49,1.0,1.0,0.0,-6435.911,4.322,0.184
25,6437.525,0.97,0.405,3.0,9.0,0.0,-6437.298,4.288,0.189
26,6437.304,0.993,0.406,2.0,7.0,0.0,-6436.706,4.271,0.167
27,6437.311,0.998,0.459,2.0,3.0,0.0,-6435.826,4.265,0.199
28,6434.815,0.99,0.49,3.0,7.0,0.0,-6434.209,4.411,0.063
29,6437.265,0.982,0.405,2.0,3.0,0.0,-6437.256,4.29,0.196
30,6436.297,0.952,0.406,2.0,7.0,0.0,-6435.982,4.252,0.171
31,6436.785,0.865,0.459,3.0,7.0,0.0,-6434.364,4.258,0.173
32,6433.327,0.781,0.49,2.0,3.0,0.0,-6433.062,4.368,0.01
33,6437.644,0.994,0.405,2.0,7.0,0.0,-6436.335,4.305,0.126
34,6437.039,0.993,0.406,2.0,7.0,0.0,-6435.414,4.339,0.15
35,6437.377,0.987,0.459,3.0,9.0,0.0,-6436.463,4.336,0.147
36,6436.589,0.976,0.49,3.0,7.0,0.0,-6433.631,4.38,0.08
37,6437.488,0.947,0.405,2.0,3.0,0.0,-6436.953,4.307,0.176
38,6435.406,0.679,0.406,1.0,1.0,0.0,-6435.389,4.35,0.163
39,6437.845,0.992,0.459,4.0,15.0,0.0,-6436.237,4.3,0.169
40,6436.785,0.962,0.49,2.0,3.0,0.0,-6436.2,4.375,0.071
41,6437.181,0.826,0.405,2.0,3.0,0.0,-6435.912,4.319,0.172
42,6437.451,1.0,0.406,2.0,7.0,0.0,-6435.613,4.326,0.101
43,6437.217,0.958,0.459,2.0,7.0,0.0,-6436.121,4.356,0.08
44,6434.991,0.67,0.49,3.0,7.0,0.0,-6434.209,4.356,0.037
45,6437.623,0.974,0.405,3.0,9.0,0.0,-6436.515,4.346,0.1
46,6437.658,0.953,0.406,2.0,3.0,0.0,-6436.901,4.318,0.114
47,6436.967,0.949,0.459,2.0,3.0,0.0,-6436.87,4.369,0.096
48,6437.82,0.962,0.49,2.0,7.0,0.0,-6434.229,4.335,0.129
49,6437.112,0.984,0.405,2.0,3.0,0.0,-6437.057,4.367,0.087
50,6437.063,0.911,0.406,2.0,3.0,0.0,-6437.002,4.339,0.149
51,6437.567,0.989,0.459,3.0,7.0,0.0,-6436.904,4.35,0.099
52,6437.632,0.976,0.49,2.0,3.0,0.0,-6437.419,4.344,0.1
53,6437.873,0.981,0.405,2.0,5.0,0.0,-6436.376,4.333,0.128
54,6437.258,0.792,0.406,2.0,3.0,0.0,-6434.652,4.298,0.124
55,6437.771,0.986,0.459,2.0,3.0,0.0,-6437.466,4.338,0.108
56,6437.807,0.931,0.49,2.0,7.0,0.0,-6436.84,4.302,0.169
57,6435.969,0.983,0.405,4.0,15.0,0.0,-6435.855,4.389,0.046
58,6437.407,0.81,0.406,2.0,7.0,0.0,-6435.159,4.338,0.143
59,6436.908,0.911,0.459,2.0,7.0,0.0,-6435.579,4.371,0.095
60,6437.59,0.894,0.49,3.0,15.0,0.0,-6436.473,4.302,0.128
61,6433.16,0.908,0.405,2.0,3.0,0.0,-6432.853,4.433,-0.001
62,6436.981,0.989,0.406,2.0,7.0,0.0,-6436.283,4.263,0.169
63,6437.597,0.999,0.459,2.0,7.0,0.0,-6436.45,4.35,0.107
64,6437.984,0.979,0.49,2.0,3.0,0.0,-6437.523,4.32,0.14
65,6435.293,0.859,0.405,2.0,3.0,0.0,-6431.99,4.399,0.03
66,6437.26,1.0,0.406,2.0,3.0,0.0,-6437.004,4.266,0.174
67,6437.113,0.922,0.459,3.0,11.0,0.0,-6434.932,4.257,0.203
68,6437.499,0.764,0.49,2.0,3.0,0.0,-6436.564,4.314,0.112
69,6434.802,0.996,0.405,2.0,3.0,0.0,-6434.685,4.412,0.027
70,6437.293,0.998,0.406,3.0,11.0,0.0,-6436.342,4.357,0.112
71,6437.987,1.0,0.459,3.0,11.0,0.0,-6437.022,4.317,0.144
72,6437.557,1.0,0.49,1.0,1.0,0.0,-6437.403,4.317,0.112
73,6437.6,0.962,0.405,3.0,7.0,0.0,-6434.07,4.308,0.121
74,6437.511,0.921,0.406,2.0,5.0,0.0,-6436.621,4.334,0.097
75,6437.614,0.984,0.459,2.0,7.0,0.0,-6437.374,4.275,0.179
76,6437.906,0.999,0.49,2.0,7.0,0.0,-6437.47,4.315,0.153
77,6435.727,0.918,0.405,3.0,7.0,0.0,-6435.518,4.237,0.187
78,6437.942,0.587,0.406,2.0,7.0,0.0,-6432.793,4.297,0.16
79,6436.614,0.777,0.459,1.0,3.0,0.0,-6436.389,4.266,0.154
80,6436.707,0.82,0.49,2.0,3.0,0.0,-6436.307,4.307,0.102
81,6436.281,1.0,0.405,2.0,3.0,0.0,-6435.664,4.266,0.23
82,6436.981,0.883,0.406,2.0,3.0,0.0,-6436.8,4.273,0.152
83,6437.01,0.99,0.459,3.0,7.0,0.0,-6436.318,4.282,0.207
84,6436.887,1.0,0.49,2.0,3.0,0.0,-6436.508,4.329,0.166
85,6435.098,0.993,0.405,2.0,5.0,0.0,-6434.179,4.213,0.252
86,6437.137,0.981,0.406,2.0,7.0,0.0,-6434.91,4.351,0.13
87,6437.19,1.0,0.459,2.0,3.0,0.0,-6436.966,4.264,0.176
88,6437.502,1.0,0.49,2.0,7.0,0.0,-6436.776,4.32,0.107
89,6437.93,1.0,0.405,3.0,11.0,0.0,-6434.89,4.306,0.16
90,6436.97,0.909,0.406,2.0,3.0,0.0,-6436.189,4.303,0.112
91,6437.629,0.996,0.459,2.0,7.0,0.0,-6436.604,4.317,0.162
92,6437.502,0.479,0.49,2.0,3.0,0.0,-6434.483,4.32,0.107
93,6437.765,0.997,0.405,2.0,7.0,0.0,-6437.421,4.334,0.108
94,6436.826,0.972,0.406,1.0,1.0,0.0,-6436.619,4.304,0.108
95,6437.778,1.0,0.459,2.0,7.0,0.0,-6437.56,4.31,0.126
96,6436.928,0.956,0.49,2.0,5.0,0.0,-6436.318,4.332,0.084
97,6437.921,0.99,0.405,2.0,7.0,0.0,-6437.566,4.319,0.124
98,6434.497,0.858,0.406,2.0,3.0,0.0,-6433.718,4.386,0.123
99,6438.0,0.995,0.459,2.0,7.0,0.0,-6437.293,4.306,0.152
100,6437.335,0.863,0.49,2.0,3.0,0.0,-6436.451,4.357,0.111
101,6437.511,0.882,0.405,2.0,7.0,0.0,-6436.356,4.32,0.163
102,6437.613,0.852,0.406,3.0,11.0,0.0,-6432.809,4.336,0.139
103,6437.799,0.983,0.459,2.0,5.0,0.0,-6437.714,4.285,0.172
104,6437.976,0.915,0.49,2.0,7.0,0.0,-6436.515,4.319,0.143
105,6436.463,0.939,0.405,3.0,15.0,0.0,-6435.597,4.246,0.189
106,6435.961,0.977,0.406,2.0,7.0,0.0,-6434.005,4.229,0.22
107,6436.821,0.971,0.459,2.0,7.0,0.0,-6436.385,4.257,0.22
108,6437.827,0.956,0.49,2.0,7.0,0.0,-6437.673,4.314,0.124
109,6436.483,0.989,0.405,1.0,3.0,0.0,-6435.386,4.241,0.222
110,6437.91,1.0,0.406,3.0,7.0,0.0,-6435.794,4.331,0.127
111,6437.758,0.998,0.459,3.0,7.0,0.0,-6436.647,4.297,0.175
112,6436.751,0.952,0.49,2.0,7.0,0.0,-6436.022,4.374,0.096
113,6437.39,0.971,0.405,2.0,3.0,0.0,-6436.284,4.269,0.197
114,6437.904,0.999,0.406,2.0,3.0,0.0,-6437.888,4.33,0.13
115,6437.273,0.993,0.459,2.0,7.0,0.0,-6437.086,4.263,0.187
116,6436.723,1.0,0.49,2.0,3.0,0.0,-6436.568,4.376,0.09
117,6437.378,0.999,0.405,3.0,7.0,0.0,-6437.356,4.271,0.199
118,6435.842,0.773,0.406,2.0,3.0,0.0,-6435.685,4.295,0.103
119,6437.499,1.0,0.459,2.0,3.0,0.0,-6437.232,4.284,0.192
120,6436.473,0.893,0.49,4.0,15.0,0.0,-6435.833,4.242,0.201
121,6437.902,0.998,0.405,3.0,11.0,0.0,-6437.002,4.326,0.119
122,6437.09,1.0,0.406,1.0,1.0,0.0,-6436.057,4.308,0.11
123,6437.525,0.949,0.459,4.0,15.0,0.0,-6436.511,4.337,0.139
124,6436.476,1.0,0.49,2.0,3.0,0.0,-6436.124,4.262,0.228
125,6436.783,0.903,0.405,2.0,7.0,0.0,-6436.457,4.366,0.113
126,6437.966,0.949,0.406,3.0,9.0,0.0,-6435.257,4.307,0.156
127,6437.268,0.917,0.459,2.0,7.0,0.0,-6436.588,4.278,0.151
128,6437.189,1.0,0.49,2.0,3.0,0.0,-6436.469,4.262,0.183
129,6436.448,0.92,0.405,3.0,7.0,0.0,-6435.083,4.364,0.057
130,6437.966,0.385,0.406,2.0,5.0,0.0,-6429.709,4.307,0.156
131,6437.121,0.975,0.459,2.0,7.0,0.0,-6436.337,4.338,0.149
132,6437.03,0.618,0.49,2.0,3.0,0.0,-6434.786,4.278,0.146
133,6435.772,0.681,0.405,2.0,3.0,0.0,-6432.534,4.396,0.071
134,6437.757,0.945,0.406,2.0,7.0,0.0,-6437.495,4.324,0.149
135,6437.929,0.972,0.459,1.0,3.0,0.0,-6436.975,4.322,0.123
136,6437.973,0.788,0.49,2.0,3.0,0.0,-6435.262,4.323,0.136
137,6437.201,0.991,0.405,4.0,15.0,0.0,-6435.157,4.316,0.174
138,6437.586,0.998,0.406,4.0,15.0,0.0,-6436.733,4.294,0.183
139,6437.837,0.985,0.459,4.0,15.0,0.0,-6437.643,4.314,0.124
140,6437.577,0.927,0.49,2.0,7.0,0.0,-6436.984,4.277,0.189
141,6436.742,0.997,0.405,2.0,7.0,0.0,-6436.115,4.338,0.076
142,6436.703,0.805,0.406,2.0,3.0,0.0,-6435.606,4.319,0.18
143,6436.332,0.625,0.459,2.0,3.0,0.0,-6434.991,4.322,0.082
144,6435.511,0.851,0.49,3.0,7.0,0.0,-6434.562,4.237,0.254
145,6437.757,0.999,0.405,2.0,7.0,0.0,-6436.075,4.331,0.109
146,6436.786,0.989,0.406,2.0,7.0,0.0,-6435.99,4.317,0.094
147,6437.338,1.0,0.459,2.0,3.0,0.0,-6436.575,4.329,0.096
148,6437.755,0.992,0.49,3.0,11.0,0.0,-6435.457,4.306,0.169
149,6437.586,0.972,0.405,2.0,7.0,0.0,-6435.7,4.295,0.183
150,6436.714,0.959,0.406,2.0,3.0,0.0,-6436.131,4.337,0.159
151,6434.661,0.953,0.459,3.0,11.0,0.0,-6431.423,4.227,0.272
152,6437.375,0.993,0.49,2.0,7.0,0.0,-6436.763,4.347,0.087
153,6437.244,0.946,0.405,3.0,11.0,0.0,-6436.82,4.357,0.115
154,6434.999,0.529,0.406,2.0,3.0,0.0,-6430.701,4.257,0.14
155,6434.537,0.972,0.459,2.0,3.0,0.0,-6433.7,4.203,0.243
156,6437.123,0.982,0.49,2.0,3.0,0.0,-6437.11,4.346,0.08
157,6437.672,0.994,0.405,2.0,7.0,0.0,-6436.361,4.303,0.13
158,6434.828,0.891,0.406,2.0,3.0,0.0,-6432.362,4.273,0.247
159,6434.731,0.825,0.459,3.0,7.0,0.0,-6432.915,4.207,0.239
160,6437.37,1.0,0.49,1.0,1.0,0.0,-6437.182,4.351,0.087
161,6437.877,0.95,0.405,2.0,7.0,0.0,-6436.812,4.305,0.164
162,6435.483,1.0,0.406,2.0,3.0,0.0,-6434.404,4.236,0.183
163,6435.627,0.93,0.459,2.0,3.0,0.0,-6434.1,4.222,0.236
164,6437.744,0.983,0.49,3.0,7.0,0.0,-6437.204,4.337,0.129
165,6437.333,0.843,0.405,2.0,7.0,0.0,-6436.567,4.294,0.131
166,6436.977,0.995,0.406,2.0,3.0,0.0,-6435.322,4.253,0.208
167,6436.332,0.838,0.459,3.0,9.0,0.0,-6433.429,4.386,0.076
168,6437.483,0.982,0.49,2.0,3.0,0.0,-6437.298,4.346,0.092
169,6437.261,0.993,0.405,2.0,3.0,0.0,-6437.012,4.31,0.179
170,6437.67,0.914,0.406,3.0,7.0,0.0,-6436.365,4.28,0.182
171,6436.433,0.93,0.459,2.0,3.0,0.0,-6435.888,4.346,0.065
172,6437.569,1.0,0.49,4.0,15.0,0.0,-6437.481,4.282,0.19
173,6436.999,0.986,0.405,2.0,5.0,0.0,-6436.338,4.297,0.196
174,6437.522,0.94,0.406,1.0,3.0,0.0,-6437.266,4.294,0.186
175,6436.584,0.948,0.459,2.0,3.0,0.0,-6435.616,4.375,0.061
176,6437.529,0.994,0.49,2.0,3.0,0.0,-6437.471,4.273,0.176
177,6436.931,0.968,0.405,2.0,7.0,0.0,-6434.589,4.319,0.095
178,6437.29,0.969,0.406,2.0,5.0,0.0,-6437.139,4.304,0.184
179,6437.049,0.983,0.459,2.0,3.0,0.0,-6436.348,4.368,0.082
180,6437.837,0.994,0.49,2.0,7.0,0.0,-6436.451,4.329,0.138
181,6436.853,0.998,0.405,4.0,15.0,0.0,-6436.097,4.327,0.087
182,6437.852,1.0,0.406,2.0,3.0,0.0,-6437.278,4.291,0.171
183,6436.711,0.862,0.459,2.0,3.0,0.0,-6436.416,4.352,0.067
184,6436.542,0.697,0.49,2.0,7.0,0.0,-6433.486,4.272,0.143
185,6437.417,0.936,0.405,2.0,3.0,0.0,-6436.167,4.335,0.093
186,6437.829,0.976,0.406,2.0,7.0,0.0,-6436.414,4.324,0.116
187,6437.087,0.967,0.459,3.0,7.0,0.0,-6436.195,4.316,0.101
188,6437.931,1.0,0.49,2.0,7.0,0.0,-6436.182,4.304,0.141
189,6436.995,0.91,0.405,1.0,1.0,0.0,-6436.986,4.331,0.086
190,6437.253,0.974,0.406,2.0,5.0,0.0,-6437.0,4.362,0.09
191,6437.63,1.0,0.459,2.0,3.0,0.0,-6437.222,4.34,0.13
