draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
0,9759.535,0.966,0.731,2.0,7.0,0.0,-9759.172,4.586,-0.315
1,9759.453,0.981,0.691,2.0,7.0,0.0,-9758.51,4.586,-0.332
2,9757.621,1.0,0.753,1.0,1.0,0.0,-9757.007,4.63,-0.294
3,9758.066,0.891,0.664,2.0,3.0,0.0,-9757.504,4.562,-0.305
4,9759.536,0.991,0.731,2.0,3.0,0.0,-9759.375,4.586,-0.308
5,9759.466,1.0,0.691,2.0,7.0,0.0,-9759.38,4.602,-0.298
6,9758.491,0.948,0.753,2.0,3.0,0.0,-9756.196,4.63,-0.392
7,9758.515,0.989,0.664,3.0,7.0,0.0,-9757.356,4.634,-0.356
8,9758.848,0.902,0.731,2.0,5.0,0.0,-9758.314,4.624,-0.386
9,9759.32,0.976,0.691,2.0,3.0,0.0,-9759.166,4.59,-0.354
10,9758.397,0.998,0.753,2.0,3.0,0.0,-9758.293,4.628,-0.401
11,9758.701,1.0,0.664,1.0,1.0,0.0,-9758.438,4.631,-0.35
12,9759.202,0.95,0.731,2.0,3.0,0.0,-9758.281,4.604,-0.377
13,9759.353,0.871,0.691,1.0,3.0,0.0,-9757.981,4.61,-0.304
14,9755.449,0.661,0.753,2.0,3.0,0.0,-9754.261,4.597,-0.451
15,9758.903,1.0,0.664,1.0,1.0,0.0,-9758.674,4.628,-0.348
16,9759.176,0.896,0.731,2.0,7.0,0.0,-9758.309,4.624,-0.343
17,9757.644,0.86,0.691,2.0,3.0,0.0,-9756.971,4.606,-0.251
18,9759.528,0.944,0.753,2.0,3.0,0.0,-9754.971,4.599,-0.357
19,9759.447,0.986,0.664,2.0,7.0,0.0,-9758.595,4.583,-0.318
20,9759.407,0.954,0.731,2.0,3.0,0.0,-9758.654,4.606,-0.369
21,9756.145,0.84,0.691,2.0,7.0,0.0,-9755.503,4.553,-0.346
22,9759.143,0.94,0.753,2.0,3.0,0.0,-9758.752,4.608,-0.382
23,9759.675,0.951,0.664,1.0,3.0,0.0,-9758.822,4.603,-0.313
24,9758.244,0.898,0.731,2.0,3.0,0.0,-9757.545,4.619,-0.412
25,9758.285,1.0,0.691,2.0,3.0,0.0,-9755.627,4.57,-0.259
26,9759.518,1.0,0.753,2.0,7.0,0.0,-9759.175,4.604,-0.304
27,9759.582,0.986,0.664,3.0,7.0,0.0,-9759.275,4.603,-0.357
28,9755.058,0.822,0.731,2.0,3.0,0.0,-9754.898,4.664,-0.417
29,9757.416,0.872,0.691,2.0,3.0,0.0,-9757.063,4.582,-0.229
30,9759.036,0.732,0.753,2.0,3.0,0.0,-9757.186,4.604,-0.383
31,9757.863,0.866,0.664,2.0,3.0,0.0,-9757.573,4.619,-0.422
32,9756.39,0.934,0.731,2.0,3.0,0.0,-9753.769,4.601,-0.44
33,9758.697,1.0,0.691,2.0,7.0,0.0,-9757.343,4.601,-0.392
34,9757.981,0.942,0.753,2.0,3.0,0.0,-9757.875,4.64,-0.352
35,9756.542,0.814,0.664,1.0,1.0,0.0,-9756.533,4.615,-0.448
36,9756.718,1.0,0.731,2.0,3.0,0.0,-9755.98,4.611,-0.443
37,9758.962,0.764,0.691,2.0,7.0,0.0,-9756.374,4.622,-0.319
