draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
0,4278.146,0.861,0.562,1.0,3.0,0.0,-4277.56,4.22,-0.278
1,4278.903,1.0,0.396,2.0,3.0,0.0,-4277.573,4.227,-0.226
2,4278.371,0.989,0.563,2.0,3.0,0.0,-4278.164,4.325,-0.31
3,4279.306,0.956,0.567,2.0,3.0,0.0,-4278.827,4.273,-0.263
4,4278.282,1.0,0.562,2.0,7.0,0.0,-4277.596,4.322,-0.302
5,4277.899,0.904,0.396,2.0,3.0,0.0,-4277.863,4.203,-0.25
6,4278.481,1.0,0.563,3.0,7.0,0.0,-4278.209,4.287,-0.354
7,4279.031,0.944,0.567,2.0,7.0,0.0,-4278.354,4.232,-0.231
8,4279.223,1.0,0.562,3.0,7.0,0.0,-4278.199,4.302,-0.332
9,4278.997,1.0,0.396,3.0,11.0,0.0,-4277.897,4.284,-0.336
10,4277.686,0.797,0.563,2.0,3.0,0.0,-4275.601,4.348,-0.384
11,4278.925,0.856,0.567,2.0,7.0,0.0,-4277.966,4.246,-0.297
12,4279.41,0.901,0.562,3.0,7.0,0.0,-4278.668,4.261,-0.295
13,4279.57,1.0,0.396,2.0,7.0,0.0,-4278.724,4.275,-0.287
14,4278.278,0.947,0.563,2.0,3.0,0.0,-4277.414,4.321,-0.375
15,4279.516,0.989,0.567,1.0,3.0,0.0,-4278.933,4.259,-0.268
16,4278.323,0.859,0.562,2.0,7.0,0.0,-4278.017,4.263,-0.224
17,4279.237,0.978,0.396,2.0,7.0,0.0,-4279.036,4.293,-0.332
18,4279.121,0.922,0.563,3.0,7.0,0.0,-4277.385,4.26,-0.308
19,4279.06,0.901,0.567,2.0,3.0,0.0,-4278.781,4.255,-0.238
20,4277.412,0.855,0.562,2.0,3.0,0.0,-4277.126,4.209,-0.276
21,4279.341,1.0,0.396,3.0,7.0,0.0,-4279.159,4.299,-0.311
22,4277.124,0.777,0.563,2.0,7.0,0.0,-4276.456,4.258,-0.198
23,4278.68,0.914,0.567,2.0,7.0,0.0,-4277.625,4.286,-0.257
24,4279.13,0.986,0.562,2.0,3.0,0.0,-4277.656,4.272,-0.254
25,4278.54,0.757,0.396,2.0,3.0,0.0,-4276.879,4.264,-0.33
26,4278.996,0.865,0.563,2.0,3.0,0.0,-4276.324,4.256,-0.309
27,4278.392,0.912,0.567,1.0,1.0,0.0,-4278.139,4.292,-0.258
28,4279.269,0.775,0.562,2.0,3.0,0.0,-4277.804,4.266,-0.255
29,4278.431,0.992,0.396,2.0,7.0,0.0,-4276.536,4.289,-0.357
30,4279.316,0.961,0.563,2.0,3.0,0.0,-4278.762,4.261,-0.253
31,4279.511,0.901,0.567,2.0,3.0,0.0,-4278.065,4.256,-0.274
32,4279.559,0.996,0.562,2.0,7.0,0.0,-4278.64,4.278,-0.292
33,4279.204,0.99,0.396,2.0,7.0,0.0,-4277.369,4.258,-0.246
34,4279.408,0.937,0.563,2.0,7.0,0.0,-4278.792,4.292,-0.319
35,4279.409,0.978,0.567,2.0,3.0,0.0,-4279.347,4.272,-0.268
36,4279.476,0.98,0.562,3.0,7.0,0.0,-4279.174,4.285,-0.312
37,4279.555,0.991,0.396,3.0,11.0,0.0,-4278.517,4.264,-0.276
38,4279.07,0.981,0.563,2.0,7.0,0.0,-4278.735,4.313,-0.333
39,4278.725,0.959,0.567,3.0,7.0,0.0,-4278.453,4.243,-0.22
40,4278.367,0.756,0.562,2.0,3.0,0.0,-4277.735,4.308,-0.279
41,4279.207,0.969,0.396,2.0,7.0,0.0,-4279.19,4.246,-0.283
42,4279.547,0.994,0.563,2.0,7.0,0.0,-4278.619,4.266,-0.288
43,4278.761,0.939,0.567,2.0,7.0,0.0,-4277.39,4.264,-0.325
44,4278.515,0.97,0.562,3.0,7.0,0.0,-4277.695,4.214,-0.247
45,4279.138,0.922,0.396,3.0,7.0,0.0,-4277.621,4.252,-0.239
46,4279.352,0.949,0.563,2.0,7.0,0.0,-4278.898,4.292,-0.292
47,4279.294,0.996,0.567,2.0,7.0,0.0,-4278.053,4.251,-0.287
48,4277.764,0.949,0.562,2.0,3.0,0.0,-4277.724,4.238,-0.194
49,4277.818,0.962,0.396,3.0,7.0,0.0,-4277.304,4.207,-0.185
50,4279.539,1.0,0.563,3.0,7.0,0.0,-4279.35,4.272,-0.279
51,4279.106,0.992,0.567,2.0,7.0,0.0,-4278.311,4.311,-0.324
52,4276.728,0.995,0.562,2.0,3.0,0.0,-4276.477,4.173,-0.209
53,4277.991,1.0,0.396,2.0,3.0,0.0,-4277.678,4.196,-0.208
54,4279.568,0.998,0.563,2.0,7.0,0.0,-4279.437,4.276,-0.294
55,4278.994,0.977,0.567,2.0,3.0,0.0,-4278.678,4.309,-0.346
56,4277.156,0.861,0.562,3.0,15.0,0.0,-4274.908,4.347,-0.406
57,4278.111,0.577,0.396,3.0,7.0,0.0,-4272.527,4.2,-0.226
58,4279.297,0.927,0.563,2.0,3.0,0.0,-4279.12,4.294,-0.291
59,4278.247,0.894,0.567,4.0,15.0,0.0,-4278.182,4.293,-0.364
60,4279.253,0.915,0.562,2.0,3.0,0.0,-4276.651,4.302,-0.329
61,4277.755,0.988,0.396,3.0,7.0,0.0,-4277.746,4.194,-0.229
62,4278.813,0.946,0.563,2.0,7.0,0.0,-4278.217,4.321,-0.349
63,4278.442,0.964,0.567,2.0,3.0,0.0,-4277.862,4.302,-0.272
64,4279.276,1.0,0.562,1.0,1.0,0.0,-4279.25,4.302,-0.327
65,4277.643,0.998,0.396,3.0,7.0,0.0,-4277.081,4.191,-0.19
66,4279.46,0.951,0.563,2.0,7.0,0.0,-4276.575,4.287,-0.293
67,4279.333,1.0,0.567,2.0,3.0,0.0,-4278.69,4.287,-0.282
68,4279.431,0.96,0.562,2.0,7.0,0.0,-4278.477,4.253,-0.279
69,4277.33,0.98,0.396,2.0,3.0,0.0,-4277.205,4.199,-0.171
70,4278.804,0.89,0.563,3.0,15.0,0.0,-4278.316,4.234,-0.28
71,4279.538,0.987,0.567,2.0,7.0,0.0,-4278.96,4.261,-0.28
72,4278.954,0.932,0.562,2.0,7.0,0.0,-4277.686,4.31,-0.348
73,4277.045,0.937,0.396,2.0,3.0,0.0,-4276.317,4.178,-0.211
74,4278.804,0.731,0.563,1.0,3.0,0.0,-4277.618,4.234,-0.28
75,4279.206,0.941,0.567,2.0,7.0,0.0,-4278.586,4.294,-0.334
76,4278.095,0.537,0.562,2.0,3.0,0.0,-4276.348,4.263,-0.34
77,4278.913,0.878,0.396,3.0,7.0,0.0,-4275.619,4.224,-0.231
78,4277.574,0.987,0.563,2.0,7.0,0.0,-4277.135,4.215,-0.179
79,4279.464,1.0,0.567,2.0,7.0,0.0,-4279.155,4.288,-0.294
80,4279.004,1.0,0.562,2.0,3.0,0.0,-4278.137,4.312,-0.312
81,4279.022,0.998,0.396,2.0,3.0,0.0,-4278.876,4.235,-0.23
82,4279.318,0.976,0.563,2.0,5.0,0.0,-4275.032,4.287,-0.324
83,4278.207,0.769,0.567,2.0,7.0,0.0,-4277.666,4.233,-0.298
84,4278.687,0.805,0.562,2.0,7.0,0.0,-4277.485,4.267,-0.33
85,4279.482,0.998,0.396,3.0,11.0,0.0,-4278.712,4.259,-0.264
86,4279.332,1.0,0.563,2.0,3.0,0.0,-4279.266,4.3,-0.315
87,4279.268,1.0,0.567,2.0,3.0,0.0,-4278.451,4.252,-0.29
88,4277.574,0.911,0.562,2.0,3.0,0.0,-4277.569,4.322,-0.283
89,4279.534,0.995,0.396,3.0,15.0,0.0,-4279.134,4.28,-0.289
90,4278.436,0.667,0.563,2.0,3.0,0.0,-4277.869,4.265,-0.334
91,4279.082,0.974,0.567,2.0,3.0,0.0,-4279.032,4.27,-0.252
92,4279.285,0.968,0.562,2.0,7.0,0.0,-4277.139,4.247,-0.281
93,4279.468,0.999,0.396,2.0,7.0,0.0,-4279.35,4.288,-0.312
94,4278.644,0.971,0.563,1.0,3.0,0.0,-4277.537,4.292,-0.353
95,4279.463,0.884,0.567,2.0,3.0,0.0,-4278.323,4.256,-0.283
96,4278.89,0.869,0.562,2.0,3.0,0.0,-4278.291,4.299,-0.281
97,4279.092,0.952,0.396,2.0,7.0,0.0,-4278.194,4.269,-0.251
98,4279.101,1.0,0.563,2.0,3.0,0.0,-4278.746,4.305,-0.34
99,4279.222,0.998,0.567,2.0,7.0,0.0,-4279.069,4.242,-0.241
100,4277.787,0.746,0.562,2.0,3.0,0.0,-4277.019,4.229,-0.301
101,4279.213,0.991,0.396,3.0,15.0,0.0,-4277.171,4.307,-0.326
102,4277.777,0.794,0.563,2.0,3.0,0.0,-4276.853,4.336,-0.39
103,4278.8,0.89,0.567,2.0,3.0,0.0,-4278.337,4.22,-0.244
104,4278.379,1.0,0.562,2.0,3.0,0.0,-4277.787,4.296,-0.262
105,4279.324,0.954,0.396,3.0,15.0,0.0,-4276.132,4.284,-0.277
106,4278.053,0.79,0.563,1.0,3.0,0.0,-4275.751,4.333,-0.317
107,4279.225,0.916,0.567,2.0,7.0,0.0,-4276.364,4.297,-0.333
108,4279.32,0.96,0.562,2.0,7.0,0.0,-4277.951,4.242,-0.264
109,4279.341,0.999,0.396,2.0,7.0,0.0,-4278.83,4.293,-0.325
110,4279.027,0.959,0.563,2.0,3.0,0.0,-4277.759,4.309,-0.344
111,4279.288,1.0,0.567,2.0,3.0,0.0,-4279.198,4.303,-0.322
112,4279.014,0.941,0.562,2.0,7.0,0.0,-4278.015,4.308,-0.304
113,4279.238,0.997,0.396,2.0,3.0,0.0,-4279.212,4.296,-0.332
