draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
0,15223.979,1.0,0.552,2.0,7.0,0.0,-15223.603,4.617,-0.431
1,15222.409,0.634,0.535,1.0,3.0,0.0,-15220.528,4.626,-0.414
2,15223.776,0.995,0.615,2.0,7.0,0.0,-15223.397,4.591,-0.39
3,15223.406,0.999,0.483,3.0,15.0,0.0,-15222.354,4.571,-0.386
4,15223.875,0.994,0.552,3.0,7.0,0.0,-15223.188,4.618,-0.453
5,15221.737,0.909,0.535,2.0,3.0,0.0,-15221.185,4.591,-0.464
6,15223.857,0.952,0.615,2.0,7.0,0.0,-15221.803,4.62,-0.45
7,15224.217,0.989,0.483,2.0,7.0,0.0,-15222.701,4.613,-0.434
8,15223.745,0.882,0.552,2.0,3.0,0.0,-15222.821,4.619,-0.456
9,15224.306,1.0,0.535,2.0,3.0,0.0,-15222.012,4.601,-0.412
10,15223.499,0.767,0.615,2.0,3.0,0.0,-15222.612,4.62,-0.422
11,15223.194,0.932,0.483,3.0,7.0,0.0,-15222.722,4.629,-0.465
12,15224.191,0.838,0.552,2.0,3.0,0.0,-15222.697,4.609,-0.443
13,15224.212,0.988,0.535,2.0,7.0,0.0,-15223.788,4.613,-0.435
14,15224.416,0.945,0.615,2.0,3.0,0.0,-15223.248,4.603,-0.424
15,15224.305,0.989,0.483,2.0,5.0,0.0,-15222.56,4.59,-0.41
16,15224.195,0.982,0.552,2.0,7.0,0.0,-15223.431,4.588,-0.402
17,15224.388,0.998,0.535,2.0,7.0,0.0,-15223.961,4.605,-0.427
18,15223.831,0.937,0.615,2.0,7.0,0.0,-15223.483,4.578,-0.405
19,15223.853,0.903,0.483,1.0,3.0,0.0,-15223.66,4.584,-0.423
20,15222.287,0.899,0.552,2.0,3.0,0.0,-15222.076,4.558,-0.371
21,15224.411,1.0,0.535,2.0,7.0,0.0,-15224.365,4.596,-0.42
22,15224.184,1.0,0.615,2.0,3.0,0.0,-15223.788,4.599,-0.406
23,15224.23,0.988,0.483,2.0,3.0,0.0,-15223.697,4.587,-0.413
24,15221.887,0.824,0.552,3.0,7.0,0.0,-15220.574,4.553,-0.379
25,15224.34,0.847,0.535,2.0,3.0,0.0,-15223.232,4.605,-0.42
26,15223.734,0.949,0.615,2.0,7.0,0.0,-15223.46,4.599,-0.447
27,15224.276,0.97,0.483,2.0,3.0,0.0,-15223.922,4.59,-0.406
28,15220.17,0.879,0.552,2.0,3.0,0.0,-15220.117,4.543,-0.387
29,15221.725,0.861,0.535,3.0,7.0,0.0,-15219.646,4.552,-0.378
30,15223.313,0.772,0.615,2.0,3.0,0.0,-15221.411,4.602,-0.392
31,15223.729,0.919,0.483,4.0,15.0,0.0,-15223.072,4.621,-0.455
32,15221.889,1.0,0.552,2.0,7.0,0.0,-15219.404,4.635,-0.427
33,15221.159,0.9,0.535,1.0,1.0,0.0,-15221.076,4.548,-0.381
34,15223.944,1.0,0.615,2.0,3.0,0.0,-15223.396,4.593,-0.395
35,15223.436,0.959,0.483,3.0,7.0,0.0,-15223.024,4.575,-0.381
36,15223.89,0.905,0.552,2.0,3.0,0.0,-15221.441,4.608,-0.451
37,15223.264,1.0,0.535,2.0,7.0,0.0,-15221.148,4.603,-0.392
38,15223.51,0.94,0.615,1.0,3.0,0.0,-15222.586,4.572,-0.392
39,15224.207,0.932,0.483,2.0,7.0,0.0,-15222.734,4.591,-0.424
40,15224.127,1.0,0.552,2.0,3.0,0.0,-15223.814,4.614,-0.43
41,15223.142,0.995,0.535,3.0,7.0,0.0,-15222.389,4.632,-0.455
42,15223.623,1.0,0.615,1.0,1.0,0.0,-15223.493,4.574,-0.394
43,15223.929,0.969,0.483,2.0,7.0,0.0,-15223.845,4.608,-0.41
44,15224.382,1.0,0.552,2.0,7.0,0.0,-15224.082,4.596,-0.424
45,15221.486,0.763,0.535,2.0,7.0,0.0,-15218.887,4.575,-0.443
46,15222.979,0.957,0.615,2.0,3.0,0.0,-15222.898,4.58,-0.372
47,15223.677,0.949,0.483,1.0,1.0,0.0,-15223.63,4.61,-0.408
48,15224.393,0.978,0.552,2.0,3.0,0.0,-15224.25,4.599,-0.427
49,15223.992,0.981,0.535,1.0,3.0,0.0,-15221.839,4.585,-0.421
50,15222.794,0.885,0.615,2.0,3.0,0.0,-15222.233,4.569,-0.413
51,15223.596,0.984,0.483,2.0,7.0,0.0,-15222.811,4.609,-0.458
52,15224.199,0.998,0.552,3.0,7.0,0.0,-15224.196,4.613,-0.437
53,15224.363,0.972,0.535,2.0,7.0,0.0,-15222.298,4.606,-0.432
54,15224.151,1.0,0.615,2.0,7.0,0.0,-15222.037,4.614,-0.432
55,15223.681,1.0,0.483,2.0,3.0,0.0,-15223.413,4.624,-0.438
56,15224.195,0.972,0.552,3.0,7.0,0.0,-15223.966,4.594,-0.43
57,15224.209,0.934,0.535,3.0,15.0,0.0,-15221.674,4.586,-0.408
58,15224.091,0.831,0.615,2.0,3.0,0.0,-15222.963,4.592,-0.429
59,15224.125,0.969,0.483,2.0,3.0,0.0,-15223.302,4.61,-0.445
60,15222.461,0.936,0.552,3.0,7.0,0.0,-15220.652,4.559,-0.376
61,15223.601,0.821,0.535,1.0,3.0,0.0,-15223.026,4.601,-0.395
62,15224.115,0.99,0.615,2.0,7.0,0.0,-15222.959,4.584,-0.404
63,15223.942,0.998,0.483,3.0,7.0,0.0,-15223.835,4.58,-0.397
64,15223.692,0.85,0.552,2.0,3.0,0.0,-15221.235,4.6,-0.395
65,15223.528,0.991,0.535,2.0,3.0,0.0,-15223.29,4.605,-0.398
66,15223.484,0.924,0.615,2.0,5.0,0.0,-15222.73,4.627,-0.455
67,15223.55,0.981,0.483,1.0,3.0,0.0,-15223.314,4.575,-0.385
68,15221.628,0.735,0.552,2.0,7.0,0.0,-15221.161,4.586,-0.459
69,15223.83,1.0,0.535,2.0,3.0,0.0,-15223.353,4.593,-0.439
70,15223.394,0.992,0.615,2.0,3.0,0.0,-15223.345,4.629,-0.453
71,15223.787,0.937,0.483,2.0,7.0,0.0,-15222.24,4.593,-0.392
72,15223.717,1.0,0.552,2.0,5.0,0.0,-15221.239,4.591,-0.389
73,15222.55,0.906,0.535,2.0,5.0,0.0,-15220.091,4.56,-0.38
74,15222.953,0.516,0.615,3.0,7.0,0.0,-15218.908,4.587,-0.445
