draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
0,9569.796,1.0,0.726,2.0,3.0,0.0,-9569.404,4.215,-0.303
1,9570.76,1.0,0.569,2.0,7.0,0.0,-9569.865,4.155,-0.235
2,9570.972,0.998,0.614,2.0,7.0,0.0,-9570.133,4.181,-0.287
3,9569.94,0.755,0.735,1.0,3.0,0.0,-9568.931,4.151,-0.266
4,9569.682,0.962,0.726,2.0,3.0,0.0,-9568.952,4.213,-0.318
5,9570.884,1.0,0.569,1.0,1.0,0.0,-9570.771,4.158,-0.236
6,9571.09,0.949,0.614,2.0,7.0,0.0,-9570.409,4.166,-0.258
7,9571.139,0.981,0.735,2.0,3.0,0.0,-9569.825,4.173,-0.237
8,9569.768,1.0,0.726,2.0,3.0,0.0,-9569.59,4.21,-0.32
9,9569.74,0.827,0.569,2.0,3.0,0.0,-9569.482,4.145,-0.257
10,9570.173,0.958,0.614,2.0,3.0,0.0,-9570.041,4.158,-0.201
11,9570.824,0.879,0.735,2.0,7.0,0.0,-9570.332,4.169,-0.279
12,9570.606,0.916,0.726,3.0,7.0,0.0,-9568.323,4.163,-0.275
13,9570.88,0.997,0.569,2.0,7.0,0.0,-9569.433,4.194,-0.259
14,9570.325,1.0,0.614,2.0,3.0,0.0,-9569.93,4.148,-0.217
15,9570.381,0.543,0.735,2.0,3.0,0.0,-9567.578,4.157,-0.27
16,9570.816,0.997,0.726,3.0,7.0,0.0,-9570.059,4.164,-0.27
17,9570.868,0.998,0.569,3.0,7.0,0.0,-9570.517,4.162,-0.224
18,9568.398,0.853,0.614,1.0,3.0,0.0,-9567.308,4.134,-0.172
19,9569.81,0.998,0.735,2.0,7.0,0.0,-9569.49,4.157,-0.193
20,9570.972,1.0,0.726,1.0,1.0,0.0,-9570.793,4.165,-0.264
21,9571.177,0.967,0.569,3.0,7.0,0.0,-9570.514,4.168,-0.254
22,9567.449,0.894,0.614,1.0,1.0,0.0,-9567.425,4.135,-0.154
23,9570.121,0.958,0.735,2.0,3.0,0.0,-9568.307,4.144,-0.222
24,9570.432,0.931,0.726,2.0,5.0,0.0,-9570.041,4.17,-0.291
25,9571.191,0.766,0.569,2.0,3.0,0.0,-9569.02,4.178,-0.274
26,9569.838,0.997,0.614,2.0,3.0,0.0,-9566.511,4.14,-0.217
27,9570.279,1.0,0.735,1.0,1.0,0.0,-9570.087,4.147,-0.217
28,9571.116,0.932,0.726,1.0,3.0,0.0,-9570.016,4.187,-0.254
29,9571.098,0.989,0.569,2.0,5.0,0.0,-9570.746,4.164,-0.24
30,9570.369,0.963,0.614,2.0,7.0,0.0,-9568.821,4.195,-0.241
31,9570.563,0.995,0.735,2.0,3.0,0.0,-9570.046,4.156,-0.215
32,9571.186,0.99,0.726,2.0,3.0,0.0,-9571.043,4.171,-0.264
33,9569.941,0.846,0.569,2.0,7.0,0.0,-9569.549,4.199,-0.238
34,9570.192,0.998,0.614,2.0,7.0,0.0,-9570.134,4.173,-0.301
35,9570.565,0.843,0.735,2.0,3.0,0.0,-9569.882,4.153,-0.25
36,9571.186,0.465,0.726,1.0,3.0,0.0,-9568.182,4.171,-0.264
37,9570.945,0.914,0.569,1.0,3.0,0.0,-9568.301,4.192,-0.29
38,9568.092,0.87,0.614,2.0,3.0,0.0,-9567.476,4.19,-0.194
39,9570.813,1.0,0.735,2.0,3.0,0.0,-9570.588,4.156,-0.243
40,9571.071,0.929,0.726,3.0,7.0,0.0,-9569.348,4.191,-0.282
41,9571.146,0.987,0.569,2.0,7.0,0.0,-9570.548,4.182,-0.246
42,9570.632,1.0,0.614,2.0,3.0,0.0,-9568.374,4.164,-0.215
43,9570.84,0.749,0.735,2.0,3.0,0.0,-9568.989,4.158,-0.248
44,9571.166,0.861,0.726,2.0,3.0,0.0,-9570.152,4.181,-0.278
45,9571.097,0.922,0.569,2.0,7.0,0.0,-9570.481,4.172,-0.272
46,9570.875,0.906,0.614,3.0,7.0,0.0,-9569.755,4.158,-0.243
47,9570.84,0.545,0.735,1.0,3.0,0.0,-9568.5,4.158,-0.248
48,9571.265,0.994,0.726,2.0,7.0,0.0,-9571.119,4.181,-0.255
49,9571.093,0.999,0.569,3.0,7.0,0.0,-9570.932,4.17,-0.269
50,9570.049,0.924,0.614,2.0,3.0,0.0,-9569.633,4.143,-0.219
51,9568.161,0.774,0.735,2.0,7.0,0.0,-9566.568,4.123,-0.213
52,9570.864,0.954,0.726,3.0,7.0,0.0,-9570.762,4.18,-0.29
53,9570.07,0.962,0.569,2.0,7.0,0.0,-9569.995,4.161,-0.199
54,9570.748,1.0,0.614,2.0,3.0,0.0,-9570.034,4.17,-0.22
55,9571.03,0.978,0.735,2.0,7.0,0.0,-9567.246,4.194,-0.274
56,9571.216,0.957,0.726,2.0,7.0,0.0,-9570.31,4.182,-0.251
57,9570.662,0.993,0.569,3.0,7.0,0.0,-9569.855,4.173,-0.289
58,9571.247,1.0,0.614,2.0,3.0,0.0,-9570.774,4.171,-0.248
59,9570.899,0.897,0.735,2.0,3.0,0.0,-9570.61,4.171,-0.278
60,9571.109,0.982,0.726,1.0,3.0,0.0,-9570.708,4.191,-0.271
61,9570.989,1.0,0.569,2.0,3.0,0.0,-9570.723,4.177,-0.283
62,9570.991,0.954,0.614,2.0,3.0,0.0,-9570.884,4.164,-0.26
63,9570.202,0.943,0.735,2.0,7.0,0.0,-9570.179,4.205,-0.26
64,9570.954,0.985,0.726,2.0,7.0,0.0,-9570.497,4.16,-0.235
65,9571.11,1.0,0.569,2.0,3.0,0.0,-9570.902,4.189,-0.28
66,9571.268,1.0,0.614,2.0,3.0,0.0,-9571.041,4.177,-0.25
67,9570.4,1.0,0.735,1.0,1.0,0.0,-9570.066,4.204,-0.266
68,9570.952,0.993,0.726,2.0,3.0,0.0,-9570.796,4.161,-0.232
69,9571.125,0.941,0.569,2.0,7.0,0.0,-9569.809,4.168,-0.263
70,9570.69,0.882,0.614,1.0,3.0,0.0,-9570.632,4.186,-0.234
71,9570.962,0.971,0.735,2.0,3.0,0.0,-9570.34,4.188,-0.29
72,9570.94,0.993,0.726,2.0,5.0,0.0,-9570.688,4.195,-0.286
73,9570.942,0.954,0.569,2.0,3.0,0.0,-9570.643,4.164,-0.264
74,9570.18,0.891,0.614,2.0,3.0,0.0,-9568.849,4.164,-0.203
75,9570.977,0.808,0.735,2.0,3.0,0.0,-9569.91,4.169,-0.273
