draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
0,11327.691,0.749,0.656,1.0,3.0,0.0,-11326.448,4.613,-1.097
1,11327.298,0.942,0.646,2.0,3.0,0.0,-11326.974,4.622,-1.093
2,11325.603,0.888,0.673,1.0,1.0,0.0,-11325.585,4.576,-1.006
3,11327.793,0.999,0.728,2.0,3.0,0.0,-11327.299,4.608,-1.088
4,11325.874,0.81,0.656,2.0,3.0,0.0,-11325.528,4.642,-1.121
5,11326.441,0.665,0.646,2.0,7.0,0.0,-11324.272,4.591,-1.123
6,11326.861,1.0,0.673,2.0,3.0,0.0,-11325.49,4.576,-1.078
7,11327.093,0.832,0.728,3.0,7.0,0.0,-11326.474,4.614,-1.064
8,11327.141,0.878,0.656,3.0,7.0,0.0,-11324.839,4.624,-1.093
9,11326.567,1.0,0.646,2.0,7.0,0.0,-11326.36,4.608,-1.043
10,11327.615,0.908,0.673,2.0,3.0,0.0,-11326.016,4.596,-1.096
11,11327.457,0.816,0.728,2.0,3.0,0.0,-11326.189,4.6,-1.109
12,11326.738,0.961,0.656,2.0,7.0,0.0,-11326.205,4.571,-1.062
13,11325.973,0.952,0.646,2.0,3.0,0.0,-11325.646,4.597,-1.138
14,11326.897,0.806,0.673,2.0,3.0,0.0,-11325.865,4.581,-1.092
15,11327.487,0.975,0.728,2.0,5.0,0.0,-11326.827,4.586,-1.056
16,11325.091,0.965,0.656,2.0,3.0,0.0,-11324.97,4.571,-0.998
17,11326.621,1.0,0.646,2.0,3.0,0.0,-11326.002,4.598,-1.128
18,11327.377,1.0,0.673,2.0,3.0,0.0,-11326.973,4.586,-1.088
19,11326.834,0.855,0.728,3.0,7.0,0.0,-11326.443,4.575,-1.077
20,11326.772,0.946,0.656,2.0,3.0,0.0,-11324.635,4.582,-1.03
21,11327.342,1.0,0.646,2.0,3.0,0.0,-11326.756,4.602,-1.114
22,11327.255,0.985,0.673,2.0,3.0,0.0,-11327.15,4.61,-1.061
23,11327.743,0.964,0.728,2.0,3.0,0.0,-11326.591,4.592,-1.075
24,11326.648,0.996,0.656,1.0,1.0,0.0,-11326.587,4.579,-1.028
25,11327.833,0.998,0.646,2.0,7.0,0.0,-11327.278,4.598,-1.078
26,11327.702,0.975,0.673,1.0,3.0,0.0,-11326.861,4.59,-1.071
27,11327.471,0.812,0.728,3.0,7.0,0.0,-11326.436,4.585,-1.056
28,11326.423,0.987,0.656,1.0,1.0,0.0,-11326.381,4.576,-1.023
29,11326.578,0.95,0.646,3.0,7.0,0.0,-11326.48,4.571,-1.035
30,11327.587,0.923,0.673,2.0,3.0,0.0,-11327.025,4.589,-1.06
31,11326.821,0.811,0.728,2.0,7.0,0.0,-11325.918,4.592,-1.115
32,11327.606,0.835,0.656,3.0,7.0,0.0,-11325.122,4.588,-1.079
33,11326.832,0.958,0.646,2.0,3.0,0.0,-11326.085,4.573,-1.065
34,11327.621,0.998,0.673,2.0,3.0,0.0,-11327.513,4.588,-1.065
35,11326.337,0.89,0.728,1.0,1.0,0.0,-11326.142,4.592,-1.125
36,11327.504,0.976,0.656,1.0,3.0,0.0,-11327.171,4.589,-1.054
37,11327.025,0.951,0.646,2.0,7.0,0.0,-11326.07,4.615,-1.063
38,11327.037,0.821,0.673,2.0,7.0,0.0,-11324.459,4.604,-1.125
39,11326.337,0.861,0.728,1.0,1.0,0.0,-11325.55,4.592,-1.125
40,11326.685,0.957,0.656,2.0,5.0,0.0,-11326.378,4.626,-1.136
41,11327.126,1.0,0.646,3.0,7.0,0.0,-11326.926,4.582,-1.086
42,11326.758,0.994,0.673,2.0,7.0,0.0,-11326.418,4.631,-1.119
43,11327.269,1.0,0.728,2.0,3.0,0.0,-11326.509,4.595,-1.108
44,11327.728,0.957,0.656,2.0,3.0,0.0,-11326.291,4.611,-1.095
45,11327.081,0.925,0.646,1.0,3.0,0.0,-11325.602,4.58,-1.041
46,11326.432,0.752,0.673,1.0,3.0,0.0,-11324.937,4.602,-1.136
47,11327.117,0.855,0.728,2.0,3.0,0.0,-11325.529,4.59,-1.039
48,11327.824,0.979,0.656,2.0,7.0,0.0,-11327.24,4.597,-1.082
49,11327.19,0.993,0.646,3.0,7.0,0.0,-11326.583,4.579,-1.049
50,11327.58,0.896,0.673,2.0,3.0,0.0,-11325.406,4.594,-1.096
51,11327.117,0.716,0.728,1.0,3.0,0.0,-11324.777,4.59,-1.039
52,11327.456,0.938,0.656,2.0,7.0,0.0,-11326.937,4.593,-1.051
53,11327.271,0.992,0.646,2.0,3.0,0.0,-11327.019,4.588,-1.044
54,11326.881,0.92,0.673,3.0,7.0,0.0,-11326.685,4.58,-1.09
55,11325.028,0.793,0.728,2.0,7.0,0.0,-11323.075,4.553,-1.024
56,11326.298,0.783,0.656,2.0,3.0,0.0,-11324.908,4.566,-1.036
57,11327.413,0.995,0.646,2.0,7.0,0.0,-11326.832,4.614,-1.117
58,11327.294,0.942,0.673,1.0,3.0,0.0,-11326.122,4.587,-1.045
59,11327.716,0.97,0.728,2.0,7.0,0.0,-11323.89,4.604,-1.101
60,11326.36,0.88,0.656,2.0,3.0,0.0,-11324.398,4.577,-1.021
61,11326.63,0.909,0.646,2.0,7.0,0.0,-11325.578,4.601,-1.036
62,11325.28,0.857,0.673,2.0,3.0,0.0,-11325.232,4.555,-1.044
63,11327.312,0.936,0.728,2.0,5.0,0.0,-11327.194,4.61,-1.063
64,11327.714,0.989,0.656,2.0,7.0,0.0,-11325.492,4.609,-1.102
65,11326.565,0.85,0.646,2.0,3.0,0.0,-11324.697,4.605,-1.039
66,11326.301,1.0,0.673,2.0,3.0,0.0,-11325.093,4.59,-1.021
67,11327.764,0.957,0.728,3.0,7.0,0.0,-11326.707,4.609,-1.096
68,11327.071,0.933,0.656,1.0,3.0,0.0,-11326.527,4.624,-1.123
69,11326.627,0.949,0.646,3.0,7.0,0.0,-11325.703,4.572,-1.073
70,11326.93,1.0,0.673,2.0,3.0,0.0,-11326.046,4.574,-1.047
71,11327.534,0.942,0.728,2.0,3.0,0.0,-11327.475,4.602,-1.108
72,11325.305,0.675,0.656,2.0,3.0,0.0,-11324.898,4.642,-1.093
73,11326.833,0.941,0.646,2.0,7.0,0.0,-11325.602,4.579,-1.033
74,11327.697,0.969,0.673,2.0,3.0,0.0,-11326.621,4.593,-1.087
