draws,lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,b0,b1
0,4338.792,0.99,0.653,3.0,7.0,0.0,-4337.308,3.523,0.027
1,4339.068,0.899,0.606,2.0,5.0,0.0,-4338.776,3.499,-0.066
2,4339.232,0.958,0.579,2.0,3.0,0.0,-4339.06,3.484,0.033
3,4339.905,0.911,0.756,1.0,1.0,0.0,-4339.69,3.54,-0.056
4,4339.939,1.0,0.653,2.0,7.0,0.0,-4338.556,3.528,-0.018
5,4338.683,0.913,0.606,1.0,1.0,0.0,-4338.473,3.492,-0.066
6,4336.401,0.723,0.579,2.0,3.0,0.0,-4334.644,3.44,0.088
7,4339.74,0.924,0.756,2.0,3.0,0.0,-4339.613,3.526,-0.075
8,4339.972,0.913,0.653,2.0,3.0,0.0,-4339.333,3.516,-0.005
9,4339.627,0.991,0.606,2.0,5.0,0.0,-4338.265,3.495,0.019
10,4337.511,0.988,0.579,2.0,3.0,0.0,-4336.111,3.463,0.079
11,4340.038,0.785,0.756,2.0,3.0,0.0,-4338.799,3.512,-0.045
12,4339.991,0.998,0.653,2.0,7.0,0.0,-4339.794,3.52,-0.058
13,4339.837,0.998,0.606,2.0,3.0,0.0,-4339.435,3.493,-0.005
14,4337.316,0.975,0.579,1.0,1.0,0.0,-4337.21,3.464,0.084
15,4340.138,0.993,0.756,1.0,3.0,0.0,-4339.978,3.526,-0.041
16,4336.846,0.739,0.653,2.0,3.0,0.0,-4336.009,3.594,-0.13
17,4339.91,0.996,0.606,2.0,3.0,0.0,-4339.76,3.497,-0.002
18,4339.907,1.0,0.579,2.0,3.0,0.0,-4337.038,3.496,-0.014
19,4339.081,0.931,0.756,2.0,3.0,0.0,-4339.02,3.48,0.037
20,4336.949,1.0,0.653,2.0,3.0,0.0,-4336.413,3.579,-0.154
21,4339.474,0.913,0.606,2.0,7.0,0.0,-4339.165,3.49,-0.034
22,4339.774,0.982,0.579,3.0,7.0,0.0,-4339.647,3.518,-0.067
23,4338.532,0.906,0.756,1.0,1.0,0.0,-4338.528,3.48,0.057
24,4338.165,0.993,0.653,3.0,7.0,0.0,-4336.589,3.567,-0.127
25,4337.496,0.896,0.606,3.0,7.0,0.0,-4336.316,3.568,-0.146
26,4339.898,1.0,0.579,2.0,3.0,0.0,-4339.756,3.524,-0.066
27,4339.546,0.986,0.756,2.0,3.0,0.0,-4337.975,3.486,-0.015
28,4340.0,1.0,0.653,2.0,3.0,0.0,-4338.114,3.536,-0.053
29,4340.047,0.975,0.606,3.0,7.0,0.0,-4336.717,3.513,-0.047
30,4339.92,0.953,0.579,2.0,7.0,0.0,-4339.527,3.539,-0.045
31,4339.522,0.966,0.756,2.0,5.0,0.0,-4339.124,3.537,-0.013
32,4339.522,0.951,0.653,1.0,3.0,0.0,-4339.17,3.544,-0.088
33,4339.061,0.926,0.606,2.0,7.0,0.0,-4338.759,3.503,0.037
34,4339.809,0.983,0.579,1.0,1.0,0.0,-4339.793,3.543,-0.046
35,4339.817,0.986,0.756,1.0,3.0,0.0,-4339.268,3.519,-0.0
36,4335.689,0.558,0.653,2.0,3.0,0.0,-4334.262,3.59,-0.034
37,4339.238,1.0,0.606,2.0,3.0,0.0,-4338.865,3.476,0.009
38,4338.851,0.849,0.579,2.0,3.0,0.0,-4338.206,3.561,-0.044
39,4339.2,0.883,0.756,2.0,5.0,0.0,-4338.281,3.476,-0.001
40,4339.432,1.0,0.653,2.0,3.0,0.0,-4335.72,3.491,-0.038
41,4338.916,1.0,0.606,2.0,3.0,0.0,-4338.723,3.479,0.044
42,4338.282,0.978,0.579,2.0,3.0,0.0,-4338.036,3.572,-0.056
43,4337.908,0.941,0.756,2.0,3.0,0.0,-4337.629,3.453,0.021
44,4339.481,0.998,0.653,2.0,7.0,0.0,-4339.059,3.547,-0.033
45,4338.626,0.977,0.606,3.0,7.0,0.0,-4338.434,3.464,0.029
46,4340.039,1.0,0.579,2.0,3.0,0.0,-4338.297,3.533,-0.053
47,4338.692,0.995,0.756,2.0,3.0,0.0,-4337.904,3.476,0.05
48,4338.472,0.902,0.653,2.0,7.0,0.0,-4337.888,3.471,-0.027
49,4339.986,0.973,0.606,2.0,7.0,0.0,-4338.03,3.504,-0.033
50,4340.043,0.944,0.579,2.0,3.0,0.0,-4339.579,3.533,-0.054
51,4339.159,0.984,0.756,2.0,3.0,0.0,-4338.351,3.474,0.009
52,4340.025,1.0,0.653,2.0,7.0,0.0,-4338.214,3.505,-0.033
53,4339.82,0.948,0.606,2.0,7.0,0.0,-4339.262,3.521,-0.068
54,4340.0,0.979,0.579,3.0,7.0,0.0,-4339.864,3.505,-0.034
55,4339.921,1.0,0.756,3.0,7.0,0.0,-4339.118,3.521,-0.008
56,4340.025,0.747,0.653,1.0,3.0,0.0,-4338.996,3.505,-0.033
57,4339.901,0.997,0.606,2.0,7.0,0.0,-4339.592,3.521,-0.006
58,4339.351,0.979,0.579,2.0,7.0,0.0,-4338.973,3.482,0.024
59,4339.768,0.95,0.756,1.0,3.0,0.0,-4339.545,3.534,-0.019
60,4339.73,0.934,0.653,2.0,3.0,0.0,-4339.245,3.497,0.014
61,4339.748,0.96,0.606,1.0,1.0,0.0,-4339.707,3.525,-0.004
62,4339.821,0.995,0.579,2.0,7.0,0.0,-4339.148,3.496,0.007
63,4336.455,0.531,0.756,2.0,3.0,0.0,-4335.24,3.492,-0.11
64,4339.274,0.887,0.653,3.0,7.0,0.0,-4338.913,3.508,-0.074
65,4335.952,0.53,0.606,2.0,3.0,0.0,-4335.774,3.451,-0.041
66,4339.33,0.904,0.579,2.0,3.0,0.0,-4338.656,3.484,0.028
67,4338.52,1.0,0.756,2.0,3.0,0.0,-4337.049,3.545,0.003
